CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
312720,NA,1,2025,32361.49
312720,NA,1,2025,2660.88
312720,NA,1,2025,4476.29
312720,NA,1,2025,52825.44
312720,NA,1,2025,88865.69
312720,NA,1,2025,101419.61
312720,NA,1,2025,170613.31
312720,NA,1,2025,75290.43
312720,NA,1,2025,126657.45
312720,NA,1,2025,154812.12
312720,NA,1,2025,260432.96
312720,NA,1,2025,29967.88
312720,NA,1,2025,29967.88
312720,NA,1,2025,50413.49
313211,NA,1,2025,14796656.22
313211,NA,1,2025,14706640.68
313211,NA,1,2025,257655.63
313211,NA,1,2025,259392.47
313211,NA,1,2025,4234522.95
313211,NA,1,2025,4593064.69
313211,NA,1,2025,138.94
313211,NA,1,2025,206.51
313211,NA,1,2025,753359.35
313211,NA,1,2025,767733.85
313211,NA,1,2025,126.12
313211,NA,1,2025,126.12
313211,NA,1,2025,9460837.69
313211,NA,1,2025,10083833.2
313211,NA,1,2025,90015.54
313211,NA,1,2025,9545.43
313211,NA,1,2025,216403.38
313211,NA,1,2025,80470.1
313211,NA,1,2025,1018048.12
313211,NA,1,2025,0.01
313211,NA,1,2025,4980794.67
313211,NA,1,2025,9747280.13
313211,NA,1,2025,9747280.13
313211,NA,1,2025,9694953.7
313211,NA,1,2025,61368.96
313211,NA,1,2025,61368.96
313211,NA,1,2025,1556188.91
313211,NA,1,2025,1556188.91
313211,NA,1,2025,61917.02
313211,NA,1,2025,62855.85
313211,NA,1,2025,244.0
313211,NA,1,2025,244.0
313211,NA,1,2025,8015234.81
313211,NA,1,2025,8952492.19
313211,NA,1,2025,52326.43
313211,NA,1,2025,12974.96
313211,NA,1,2025,446335.46
313211,NA,1,2025,39351.47
313211,NA,1,2025,211141.91
313211,NA,1,2025,382183.73
313211,NA,1,2025,382183.73
313211,NA,1,2025,382183.73
313211,NA,1,2025,55911.62
313211,NA,1,2025,55911.62
313211,NA,1,2025,326272.11
313211,NA,1,2025,326272.11
313211,NA,1,2025,173769.02
313211,NA,1,2025,173769.02
313211,NA,1,2025,173769.02
313211,NA,1,2025,173769.02
313211,NA,1,2025,173769.02
315494,NA,1,2025,8208157.43
315494,NA,1,2025,5320074.25
315494,NA,1,2025,5320074.25
315494,NA,1,2025,4664597.69
315494,NA,1,2025,1544.07
315494,NA,1,2025,1584.16
315494,NA,1,2025,181396.96
315494,NA,1,2025,28057.32
315494,NA,1,2025,150.71
315494,NA,1,2025,512.09
315494,NA,1,2025,8386.82
315494,NA,1,2025,313210.42
315494,NA,1,2025,428905.04
315494,NA,1,2025,2430.0
315494,NA,1,2025,16068.37
315494,NA,1,2025,1450772.88
315494,NA,1,2025,1600728.17
315494,NA,1,2025,6746.51
315494,NA,1,2025,6746.51
315494,NA,1,2025,31333.81
315494,NA,1,2025,2544181.82
315494,NA,1,2025,3280404.49
315494,NA,1,2025,6525.0
315494,NA,1,2025,6525.0
315494,NA,1,2025,144197.8
315494,NA,1,2025,144197.8
315494,NA,1,2025,4320.0
315494,NA,1,2025,4320.0
315494,NA,1,2025,7745.0
315494,NA,1,2025,7745.0
